region,tenure,age,income,marital,address,ed,employ,retire,gender,reside
2,13,44,64,1,9,4,5,0,0,2
3,11,33,136,1,7,5,5,0,0,6
3,68,52,116,1,24,1,29,0,1,2
2,33,33,33,0,12,2,0,0,1,1
2,23,30,30,1,9,1,2,0,0,4
2,41,39,78,0,17,2,16,0,1,1
3,45,22,19,1,2,2,4,0,1,5
2,38,35,76,0,5,2,10,0,0,3
3,45,59,166,1,7,4,31,0,0,5
1,68,41,72,1,21,1,22,0,0,3
2,5,33,125,0,10,4,5,0,1,1
3,7,35,80,0,14,2,15,0,1,1
1,41,38,37,1,8,2,9,0,1,3
2,57,54,115,1,30,4,23,0,1,3
2,9,46,25,0,3,1,8,0,1,2
1,29,38,75,1,12,5,1,0,0,4
3,60,57,162,0,38,2,30,0,0,1
3,34,48,49,0,3,2,6,0,1,3
2,1,24,20,0,3,1,3,0,0,1
1,26,29,77,1,3,4,2,0,0,4
3,6,30,16,0,7,3,1,0,1,1
1,68,52,120,1,17,1,24,0,0,2
3,53,33,101,0,10,5,4,0,1,2
3,55,48,67,1,19,1,25,0,0,3
3,14,43,36,1,18,1,5,0,0,5
2,1,21,33,0,0,2,0,0,1,3
2,42,40,37,0,7,2,8,0,1,1
3,25,33,31,1,11,1,5,0,0,4
1,9,21,17,1,1,2,2,0,1,3
2,13,33,19,1,9,4,0,0,1,2
1,56,37,36,1,6,1,13,0,1,2
1,71,53,155,1,27,5,12,0,0,2
1,35,50,140,1,26,2,21,0,1,4
1,11,27,55,1,8,5,0,0,0,3
2,60,46,163,1,13,3,24,0,0,2
3,20,35,52,1,11,4,0,0,0,2
2,54,60,211,0,38,4,25,0,0,1
1,44,57,186,1,1,2,17,0,0,2
1,11,41,39,1,0,1,1,0,1,2
2,72,57,22,0,34,2,35,1,1,1
3,10,41,30,0,7,1,7,0,0,1
2,15,28,29,0,0,2,4,0,1,1
2,27,28,23,1,4,2,8,0,0,5
1,9,36,62,1,14,4,10,0,0,6
1,64,43,76,1,20,4,20,0,1,4
1,65,41,74,1,3,4,16,0,0,2
1,49,51,63,1,27,4,19,0,0,5
3,47,41,36,1,0,4,8,0,0,2
3,9,34,33,1,9,2,8,0,1,4
1,5,36,29,0,14,2,9,0,1,1
2,30,34,27,1,4,2,1,0,0,5
1,56,52,49,1,28,2,12,0,0,4
3,10,22,24,0,0,4,0,0,0,1
1,7,26,26,1,3,2,2,0,0,5
1,52,27,47,0,6,3,5,0,0,2
2,36,45,94,1,1,2,18,0,1,5
3,27,34,21,0,8,3,4,0,1,1
1,58,62,27,1,36,1,0,0,0,2
2,41,52,30,0,27,2,2,0,1,1
2,47,40,127,1,16,4,12,0,1,4
2,55,39,137,1,15,2,20,0,1,2
2,56,50,80,1,1,2,24,0,1,4
3,35,55,30,0,24,2,2,0,0,1
2,69,51,438,1,11,4,23,0,1,2
2,44,39,79,0,16,2,16,0,0,1
3,36,47,63,1,16,1,23,0,0,2
3,28,51,40,1,22,3,10,0,1,6
1,72,67,51,1,44,1,34,1,0,2
1,16,27,37,0,5,3,5,0,0,4
3,3,43,61,0,19,4,11,0,1,1
1,40,57,22,1,15,2,9,0,0,2
3,16,39,44,0,6,4,3,0,1,1
1,20,42,17,0,4,3,5,0,0,1
2,48,43,110,0,13,5,15,0,1,3
2,64,48,91,1,13,2,24,0,0,2
1,8,46,46,0,3,2,8,0,0,1
1,40,38,85,1,10,3,12,0,0,2
2,38,71,10,0,27,2,12,1,0,1
1,67,68,244,0,28,1,47,0,1,1
1,26,42,80,0,0,4,15,0,1,1
3,41,34,83,1,15,5,1,0,1,2
2,2,31,21,0,2,1,6,0,0,1
3,20,48,24,1,29,2,3,0,0,2
2,31,53,351,0,2,3,31,0,1,1
2,45,52,169,1,4,4,29,0,1,4
2,33,27,46,1,7,2,7,0,0,4
1,10,26,34,0,6,3,3,0,0,1
2,62,54,50,1,2,4,3,0,0,2
2,4,35,161,0,16,5,6,0,1,1
1,42,47,212,1,17,4,17,0,0,2
3,27,51,80,1,3,5,11,0,0,3
2,38,42,30,0,1,4,7,0,1,1
3,52,61,53,1,3,5,1,0,1,2
3,35,33,73,0,9,5,4,0,1,1
3,3,20,17,1,1,2,0,0,1,4
2,17,33,23,0,9,5,3,0,0,1
1,55,53,34,1,21,1,8,0,0,2
3,43,36,107,1,5,1,19,0,1,3
2,47,25,21,1,5,1,1,0,1,2
3,65,58,83,0,30,2,16,0,1,1
1,13,20,17,0,1,3,0,0,0,5
3,64,25,76,1,4,3,2,0,1,6
2,12,24,19,0,2,1,0,0,0,1
1,29,32,49,1,0,4,3,0,1,3
2,23,47,173,0,21,3,22,0,1,1
2,14,35,47,0,4,3,10,0,1,1
1,35,61,41,0,23,2,11,0,0,1
3,26,39,105,0,8,3,13,0,1,1
1,13,54,31,0,2,4,2,0,0,1
2,69,40,41,1,13,2,17,0,0,3
3,61,50,102,1,30,4,9,0,1,3
2,45,22,36,1,2,4,0,0,1,5
2,3,37,24,0,13,1,3,0,1,1
2,53,22,25,0,1,4,0,0,0,2
1,59,42,68,0,1,2,21,0,1,1
1,13,34,20,0,11,3,0,0,1,1
3,31,31,48,0,4,1,15,0,0,1
1,40,29,40,1,6,2,8,0,1,5
1,48,55,79,0,15,1,25,0,0,1
3,3,31,28,0,1,1,0,0,0,1
2,51,48,64,0,12,2,22,0,1,1
3,33,41,37,0,15,2,11,0,0,1
3,14,47,48,1,7,1,13,0,0,2
1,17,42,131,1,6,5,6,0,0,3
3,19,29,18,1,9,2,2,0,0,3
2,58,36,38,0,10,2,14,0,1,1
3,22,23,37,0,3,2,4,0,1,3
2,29,31,60,1,1,4,6,0,0,5
3,14,22,13,1,2,3,0,0,1,4
2,70,64,98,1,18,1,31,0,1,2
1,62,52,195,1,2,1,23,0,0,2
2,7,35,47,1,0,1,14,0,0,5
1,56,47,65,1,19,2,22,0,0,3
1,50,50,150,1,22,5,5,0,1,4
2,57,39,106,0,6,5,8,0,0,1
3,2,40,51,0,19,4,14,0,1,1
2,40,38,96,0,17,4,0,0,1,1
2,6,43,33,0,4,5,7,0,0,2
3,23,25,38,1,6,2,1,0,1,3
3,11,32,125,0,6,4,5,0,0,1
1,29,37,145,1,13,5,0,0,1,4
1,42,44,99,1,2,2,21,0,0,3
1,20,34,22,1,2,4,0,0,1,3
2,72,60,31,1,21,1,38,1,0,2
1,2,36,25,0,3,1,6,0,1,1
3,46,25,57,0,5,5,0,0,1,2
2,39,51,41,1,21,5,20,0,0,6
3,24,25,20,1,1,3,1,0,1,2
3,59,43,101,1,4,2,22,0,1,5
1,65,37,56,0,8,2,15,0,0,1
2,50,27,22,1,5,2,5,0,1,3
